"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774345888812744999","Sun Mar 31 23:07:53 +0000 2024","1","@kikysaputrii kelakuan kaya gibran ngereply tweet2 ga penting. karyanya mana?","1774574367961391422","","kikysaputrii","tl","","0","0","0","https://x.com/yoghafoto/status/1774574367961391422","284283807","yoghafoto"
"1774574107394551912","Sun Mar 31 23:06:51 +0000 2024","1","eh kacian deh tadinya mau sindir orang tapi malah menyidir sendiri.","1774574107394551912","","","in","Indonesia","0","0","0","https://x.com/insanisyah1/status/1774574107394551912","1461644341139496965","insanisyah1"
"1760970509599355183","Sun Mar 31 23:06:02 +0000 2024","0","@anakkedua571 @700juta @gibran_tweet Masihhh... Kan ga jadi coment ","1774573899277291854","","anakkedua571","in","","0","0","0","https://x.com/itsnaeyul/status/1774573899277291854","1513131927854747649","itsnaeyul"
"1774439726801723761","Sun Mar 31 23:05:22 +0000 2024","1","@DedynurPalakka @gibran_tweet Milenial anak katrok lah attitudenya berbeda karena pengajaran etika yg tidak baik dilingkungannya apalagi ukuran 2.3 daya pemahaman nya pasti lambat .....slow respon kali awowoowowk","1774573733367468171","","DedynurPalakka","in","","0","0","0","https://x.com/sastro1000/status/1774573733367468171","1683003885227741185","sastro1000"
"1774573462721372510","Sun Mar 31 23:04:18 +0000 2024","3","GAYA KOMUNIKASI HASTO kepada GIBRAN masih mau MEMPERTAHANKAN Model FEODALISME. Sudah gak jaman model komunikasi kek hasto. Yang ada generasi milenial-Z justru akan menjawab dgn apa adanya. Pdhl HASTO maunya ada war dgn adanya statemen2nya.","1774573462721372510","","","in","Amsterdam, The Netherlands","1","0","0","https://x.com/BattoAjax/status/1774573462721372510","394675941","BattoAjax"
"1774337928111743344","Sun Mar 31 23:02:36 +0000 2024","1","@barry_all2n @gibran_tweet Telat ...hahaha biar telat yg penting Telat hahahaha","1774573036290900137","","barry_all2n","in","","0","0","0","https://x.com/aepsuprianata72/status/1774573036290900137","1442604924","aepsuprianata72"
"1758505450075779524","Sun Mar 31 23:02:32 +0000 2024","0","@UlumuddinAceng @gibran_tweet Anjiiir","1774573019362676789","","UlumuddinAceng","in","","0","0","0","https://x.com/alexandreanov/status/1774573019362676789","1135086952720420864","alexandreanov"
"1774572885572813038","Sun Mar 31 23:02:00 +0000 2024","0","Pemeran utamanya jokowi gibran beserta keluarga besar.","1774572885572813038","","","in","New Asgard, Tønsberg, Norway","0","0","0","https://x.com/samsuil_/status/1774572885572813038","107277799","samsuil_"
"1774365831608303824","Sun Mar 31 22:59:59 +0000 2024","0","@AnKiiim_ Tapi jujur kalo di salah satu perusahaan 9 naga gibran kaesang dah terkenal banget perusahaannya dipake buat ke arah sana. Sampe ultah perusahaan yg tadinya makanan yg enak2 dipaksain pake dr resto mereka.","1774572377135046787","","AnKiiim_","in","","0","0","0","https://x.com/vara_jaeyong/status/1774572377135046787","1313167568274767873","vara_jaeyong"
"1758505450075779524","Sun Mar 31 22:59:29 +0000 2024","1","@Ascan155885 @gibran_tweet Gk usah kasihan..jorokin aja ke jurang","1774572250177704137","","Ascan155885","in","","0","0","0","https://x.com/alexandreanov/status/1774572250177704137","1135086952720420864","alexandreanov"
